antecedent,consequent,sup_ant,sup_cons,sup_joint,weight_ant,weight_cons,wsup_ant,reg_ant,reg_cons,maxRegW_ant,maxRegW_cons,wNegSup,wNegConf,severity
Dizziness,Skin rash,0.2347,0.0407,0.0077,0.35,0.5,0.0821,52,123,390.0,300.0,0.0397,0.4837,0.2056
Constipation,Skin rash,0.074,0.0407,0.0,0.32,0.5,0.0237,64,123,408.0,300.0,0.0118,0.5,0.205
Sleepiness,Rash,0.082,0.227,0.0073,0.4,0.5,0.0328,59,30,360.0,300.0,0.0149,0.4553,0.2049
Nausea,Skin rash,0.7083,0.0407,0.0373,0.35,0.5,0.2479,8,123,390.0,300.0,0.1174,0.4736,0.2013
Sleepiness,Stomach pain,0.082,0.2483,0.019,0.4,0.55,0.0328,59,24,360.0,270.0,0.0139,0.4226,0.2007
Allergic reaction,Loss of appetite,0.1363,0.0997,0.001,0.8,0.35,0.1091,57,53,120.0,390.0,0.0379,0.3474,0.1998
Vomiting,Abnormal liver function tests,0.476,0.055,0.001,0.6,0.4,0.2856,10,104,240.0,360.0,0.114,0.3992,0.1996
Sleepiness,Skin rash,0.082,0.0407,0.011,0.4,0.5,0.0328,59,123,360.0,300.0,0.0142,0.4329,0.1948
Dizziness,Rash,0.2347,0.227,0.021,0.35,0.5,0.0821,52,30,390.0,300.0,0.0374,0.4553,0.1935
Allergic reaction,Dizziness,0.1363,0.2347,0.0073,0.8,0.35,0.1091,57,52,120.0,390.0,0.0361,0.3312,0.1904
Stomach pain,Abnormal liver function tests,0.2483,0.055,0.0,0.55,0.4,0.1366,24,104,270.0,360.0,0.0546,0.4,0.19
Flatulence,Abdominal pain,0.134,0.1923,0.0073,0.18,0.55,0.0241,43,29,492.0,270.0,0.0125,0.5199,0.1898
Stomach pain,Insomnia (difficulty in sleeping),0.2483,0.0517,0.001,0.55,0.4,0.1366,24,87,270.0,360.0,0.0544,0.3984,0.1892
Diarrhea,Rash,0.7387,0.227,0.2097,0.55,0.5,0.4063,7,30,270.0,300.0,0.1455,0.3581,0.188
Abdominal pain,Insomnia (difficulty in sleeping),0.1923,0.0517,0.002,0.55,0.4,0.1058,29,87,270.0,360.0,0.0419,0.3958,0.188
Vomiting,Insomnia (difficulty in sleeping),0.476,0.0517,0.029,0.6,0.4,0.2856,10,87,240.0,360.0,0.1073,0.3756,0.1878
