antecedent,consequent,sup_ant,sup_cons,sup_joint,neg_conf,reg_ant,reg_cons,weight_ant,weight_cons,severity_proxy
Vomiting,Insomnia (difficulty in sleeping),0.476,0.051666666666666666,0.029,0.9390756302521008,10,87,0.6,0.4,0.9390756302521008
Increased liver enzymes,Abdominal pain,0.109,0.19233333333333333,0.006666666666666667,0.9388379204892966,56,29,0.78,0.55,0.9388379204892966
Nausea,Dryness in mouth,0.7083333333333334,0.08966666666666667,0.043333333333333335,0.9388235294117647,8,65,0.35,0.2,0.9388235294117647
Headache,Abdominal pain,0.3273333333333333,0.19233333333333333,0.02033333333333333,0.9378818737270876,26,29,0.3,0.55,0.9378818737270876
Headache,Loss of appetite,0.3273333333333333,0.09966666666666667,0.02033333333333333,0.9378818737270876,26,53,0.3,0.35,0.9378818737270876
Nausea,Constipation,0.7083333333333334,0.074,0.045,0.936470588235294,8,64,0.35,0.32,0.936470588235294
Loss of appetite,Dryness in mouth,0.09966666666666667,0.08966666666666667,0.006666666666666667,0.9331103678929765,53,65,0.35,0.2,0.9331103678929765
Increased liver enzymes,Stomach pain,0.109,0.24833333333333332,0.007333333333333333,0.9327217125382263,56,24,0.78,0.55,0.9327217125382263
Constipation,Abdominal pain,0.074,0.19233333333333333,0.005,0.9324324324324323,64,29,0.32,0.55,0.9324324324324323
Rash,Itching,0.227,0.051666666666666666,0.015666666666666666,0.9309838472834068,30,109,0.5,0.28,0.9309838472834068
Abdominal pain,Dizziness,0.19233333333333333,0.23466666666666666,0.013333333333333334,0.9306759098786829,29,52,0.55,0.35,0.9306759098786829
Vomiting,Dryness in mouth,0.476,0.08966666666666667,0.034333333333333334,0.9278711484593838,10,65,0.6,0.2,0.9278711484593838
Sleepiness,Insomnia (difficulty in sleeping),0.082,0.051666666666666666,0.006,0.9268292682926829,59,87,0.4,0.4,0.9268292682926829
Dryness in mouth,Loss of appetite,0.08966666666666667,0.09966666666666667,0.006666666666666667,0.9256505576208178,65,53,0.2,0.35,0.9256505576208178
Flatulence,Itching,0.134,0.051666666666666666,0.01,0.9253731343283582,43,109,0.18,0.28,0.9253731343283582
Rash,Abdominal pain,0.227,0.19233333333333333,0.017,0.9251101321585904,30,29,0.5,0.55,0.9251101321585904
Stomach pain,Sleepiness,0.24833333333333332,0.082,0.019,0.9234899328859061,24,59,0.55,0.4,0.9234899328859061
Sleepiness,Allergic reaction,0.082,0.13633333333333333,0.006333333333333333,0.9227642276422765,59,57,0.4,0.8,0.9227642276422765
Sleepiness,Flatulence,0.082,0.134,0.006333333333333333,0.9227642276422765,59,43,0.4,0.18,0.9227642276422765
Abdominal pain,Stomach pain,0.19233333333333333,0.24833333333333332,0.015,0.9220103986135183,29,24,0.55,0.55,0.9220103986135183
Dryness in mouth,Heartburn,0.08966666666666667,0.057,0.007,0.9219330855018587,65,120,0.2,0.28,0.9219330855018587
Dryness in mouth,Rash,0.08966666666666667,0.227,0.007333333333333333,0.9182156133828997,65,30,0.2,0.5,0.9182156133828997
Fatigue,Allergic reaction,0.056666666666666664,0.13633333333333333,0.004666666666666667,0.9176470588235294,171,57,0.32,0.8,0.9176470588235294
Itching,Loss of appetite,0.051666666666666666,0.09966666666666667,0.004333333333333333,0.9161290322580645,109,53,0.28,0.35,0.9161290322580645
Abnormal liver function tests,Indigestion,0.055,0.14133333333333334,0.004666666666666667,0.9151515151515152,104,63,0.4,0.26,0.9151515151515152
Sleepiness,Heartburn,0.082,0.057,0.007,0.9146341463414633,59,120,0.4,0.28,0.9146341463414633
Headache,Indigestion,0.3273333333333333,0.14133333333333334,0.028,0.9144602851323828,26,63,0.3,0.26,0.9144602851323828
Constipation,Insomnia (difficulty in sleeping),0.074,0.051666666666666666,0.006333333333333333,0.9144144144144145,64,87,0.32,0.4,0.9144144144144145
Vomiting,Itching,0.476,0.051666666666666666,0.04133333333333333,0.9131652661064426,10,109,0.6,0.28,0.9131652661064426
Abdominal pain,Rash,0.19233333333333333,0.227,0.017,0.9116117850953207,29,30,0.55,0.5,0.9116117850953207
Dryness in mouth,Insomnia (difficulty in sleeping),0.08966666666666667,0.051666666666666666,0.008,0.9107806691449813,65,87,0.2,0.4,0.9107806691449813
Sleepiness,Rash,0.082,0.227,0.007333333333333333,0.910569105691057,59,30,0.4,0.5,0.910569105691057
Dizziness,Rash,0.23466666666666666,0.227,0.021,0.9105113636363636,52,30,0.35,0.5,0.9105113636363636
Loss of appetite,Sleepiness,0.09966666666666667,0.082,0.009,0.9096989966555185,53,59,0.35,0.4,0.9096989966555185
Insomnia (difficulty in sleeping),Allergic reaction,0.051666666666666666,0.13633333333333333,0.004666666666666667,0.9096774193548387,87,57,0.4,0.8,0.9096774193548387
Itching,Abdominal pain,0.051666666666666666,0.19233333333333333,0.004666666666666667,0.9096774193548387,109,29,0.28,0.55,0.9096774193548387
Rash,Dizziness,0.227,0.23466666666666666,0.021,0.907488986784141,30,52,0.5,0.35,0.907488986784141
Allergic reaction,Stomach pain,0.13633333333333333,0.24833333333333332,0.012666666666666666,0.9070904645476773,57,24,0.8,0.55,0.9070904645476773
Vomiting,Sleepiness,0.476,0.082,0.04466666666666667,0.9061624649859944,10,59,0.6,0.4,0.9061624649859944
Fatigue,Insomnia (difficulty in sleeping),0.056666666666666664,0.051666666666666666,0.005333333333333333,0.9058823529411765,171,87,0.32,0.4,0.9058823529411765
Indigestion,Rash,0.14133333333333334,0.227,0.013666666666666667,0.9033018867924528,63,30,0.26,0.5,0.9033018867924528
Flatulence,Loss of appetite,0.134,0.09966666666666667,0.013333333333333334,0.900497512437811,43,53,0.18,0.35,0.900497512437811
Dizziness,Fatigue,0.23466666666666666,0.056666666666666664,0.023666666666666666,0.8991477272727273,52,171,0.35,0.32,0.8991477272727273
Increased liver enzymes,Insomnia (difficulty in sleeping),0.109,0.051666666666666666,0.011,0.8990825688073395,56,87,0.78,0.4,0.8990825688073395
Indigestion,Itching,0.14133333333333334,0.051666666666666666,0.014333333333333333,0.8985849056603773,63,109,0.26,0.28,0.8985849056603773
Abnormal liver function tests,Nausea,0.055,0.7083333333333334,0.005666666666666667,0.896969696969697,104,8,0.4,0.35,0.896969696969697
Abnormal liver function tests,Abdominal pain,0.055,0.19233333333333333,0.005666666666666667,0.896969696969697,104,29,0.4,0.55,0.896969696969697
Insomnia (difficulty in sleeping),Fatigue,0.051666666666666666,0.056666666666666664,0.005333333333333333,0.896774193548387,87,171,0.4,0.32,0.896774193548387
Allergic reaction,Abnormal liver function tests,0.13633333333333333,0.055,0.014333333333333333,0.8948655256723717,57,104,0.8,0.4,0.8948655256723717
Abdominal pain,Headache,0.19233333333333333,0.3273333333333333,0.02033333333333333,0.8942807625649913,29,26,0.55,0.3,0.8942807625649913
Constipation,Stomach pain,0.074,0.24833333333333332,0.008,0.891891891891892,64,24,0.32,0.55,0.891891891891892
Dizziness,Increased liver enzymes,0.23466666666666666,0.109,0.025666666666666667,0.890625,52,56,0.35,0.78,0.890625
Flatulence,Constipation,0.134,0.074,0.014666666666666666,0.8905472636815921,43,64,0.18,0.32,0.8905472636815921
Sleepiness,Loss of appetite,0.082,0.09966666666666667,0.009,0.8902439024390245,59,53,0.4,0.35,0.8902439024390245
Increased liver enzymes,Itching,0.109,0.051666666666666666,0.012,0.8899082568807339,56,109,0.78,0.28,0.8899082568807339
Stomach pain,Heartburn,0.24833333333333332,0.057,0.027666666666666666,0.8885906040268456,24,120,0.55,0.28,0.8885906040268456
Constipation,Rash,0.074,0.227,0.008333333333333333,0.8873873873873874,64,30,0.32,0.5,0.8873873873873874
Increased liver enzymes,Headache,0.109,0.3273333333333333,0.012333333333333333,0.8868501529051988,56,26,0.78,0.3,0.8868501529051988
Dizziness,Loss of appetite,0.23466666666666666,0.09966666666666667,0.02666666666666667,0.8863636363636364,52,53,0.35,0.35,0.8863636363636364
Insomnia (difficulty in sleeping),Sleepiness,0.051666666666666666,0.082,0.006,0.8838709677419355,87,59,0.4,0.4,0.8838709677419355
Increased liver enzymes,Loss of appetite,0.109,0.09966666666666667,0.012666666666666666,0.8837920489296636,56,53,0.78,0.35,0.8837920489296636
Headache,Rash,0.3273333333333333,0.227,0.04,0.8778004073319756,26,30,0.3,0.5,0.8778004073319756
Insomnia (difficulty in sleeping),Constipation,0.051666666666666666,0.074,0.006333333333333333,0.8774193548387097,87,64,0.4,0.32,0.8774193548387097
Heartburn,Dryness in mouth,0.057,0.08966666666666667,0.007,0.8771929824561404,120,65,0.28,0.2,0.8771929824561404
Heartburn,Sleepiness,0.057,0.082,0.007,0.8771929824561404,120,59,0.28,0.4,0.8771929824561404
Dizziness,Indigestion,0.23466666666666666,0.14133333333333334,0.029333333333333333,0.875,52,63,0.35,0.26,0.875
Loss of appetite,Increased liver enzymes,0.09966666666666667,0.109,0.012666666666666666,0.8729096989966555,53,56,0.35,0.78,0.8729096989966555
Headache,Constipation,0.3273333333333333,0.074,0.041666666666666664,0.8727087576374745,26,64,0.3,0.32,0.8727087576374745
Headache,Fatigue,0.3273333333333333,0.056666666666666664,0.043333333333333335,0.8676171079429735,26,171,0.3,0.32,0.8676171079429735
Loss of appetite,Flatulence,0.09966666666666667,0.134,0.013333333333333334,0.8662207357859532,53,43,0.35,0.18,0.8662207357859532
Headache,Insomnia (difficulty in sleeping),0.3273333333333333,0.051666666666666666,0.044,0.8655804480651732,26,87,0.3,0.4,0.8655804480651732
Headache,Itching,0.3273333333333333,0.051666666666666666,0.04533333333333334,0.8615071283095723,26,109,0.3,0.28,0.8615071283095723
Headache,Sleepiness,0.3273333333333333,0.082,0.04566666666666667,0.860488798370672,26,59,0.3,0.4,0.860488798370672
Heartburn,Abdominal pain,0.057,0.19233333333333333,0.008,0.8596491228070176,120,29,0.28,0.55,0.8596491228070176
Abdominal pain,Indigestion,0.19233333333333333,0.14133333333333334,0.027,0.8596187175043327,29,63,0.55,0.26,0.8596187175043327
Stomach pain,Dryness in mouth,0.24833333333333332,0.08966666666666667,0.036333333333333336,0.8536912751677852,24,65,0.55,0.2,0.8536912751677852
